OTU NNgenome identity
embed6715 pami 100
embed21690 pde 97.9
embed16542 tpro 97.9
embed2186 pde 98.6
embed16092 pde 99.3
embed25919 tpro 97.9
embed12214 pde 97.1
embed13269 rcp 98.6
embed14875 pde 98.6
embed23580 pde 97.9
embed17054 pde 97.9
embed11973 pde 97.1
embed9471 pde 98.6
embed6716 rsh 97.1
embed14517 daa 97.1
embed15638 rsq 97.1
embed4179 sbd 97.9
embed23581 sbd 97.1
embed4764 smy 97.1
embed7180 smy 97.9
embed11263 swi 97.1
embed11074 swi 97.9
embed20892 swi 98.6
embed3203 smy 99.3
embed9473 stax 99.3
embed25923 stax 97.9
embed20893 stax 98.6
embed3444 smy 98.6
embed23584 stax 97.1
embed22576 swi 97.1
embed10173 stax 98.6
embed17529 stax 97.9
embed17531 swi 98.6
embed9056 smy 98.6
embed21692 pga 97.9
embed23587 red 99.3
embed20895 rmb 100
embed20896 paby 100
embed15253 rmb 97.9
embed14519 pmib 99.3
embed3654 cfd 99.3
embed2671 eae 99.3
embed8498 caf 98.6
embed17055 csi 97.9
embed399 eab 99.3
embed7256 eab 99.3
embed16545 she 100
embed23589 pob 99.3
embed20897 gfo 99.3
embed19384 gfo 99.3
embed16546 fbr 97.9
embed15254 ash 98.6
embed12450 sfr 100
embed9057 sbb 100
embed3500 shp 100
embed23590 tdi 100
embed24704 pob 100
embed20094 marm 100
embed20095 zga 99.3
embed18089 eab 99.3
embed6586 cfd 99.3
embed4734 eae 99.3
embed15639 caf 98.6
embed25933 csi 97.9
embed696 eab 99.3
embed15640 eab 99.3
embed22581 pmib 99.3
embed5373 cfd 99.3
embed3981 eae 99.3
embed14192 caf 98.6
embed23591 csi 97.9
embed608 eab 99.3
embed14193 eab 98.6
embed18091 eae 99.3
embed3445 eab 99.3
embed18747 cfd 99.3
embed13270 eae 99.3
embed2686 eab 99.3
embed9602 pmib 99.3
embed2224 cfd 99.3
embed1419 eae 99.3
embed4645 caf 98.6
embed15641 caf 99.3
embed11507 csi 97.9
embed19386 ror 99.3
embed17532 hav 99.3
embed21694 mmk 99.3
embed25934 sfg 99.3
embed207 eab 99.3
embed20096 ecc 99.3
embed11076 cfd 99.3
embed8835 eae 99.3
embed22582 caf 98.6
embed2057 eab 99.3
embed9603 eab 99.3
embed17056 pmib 99.3
embed4494 cfd 99.3
embed2988 eae 99.3
embed10519 caf 98.6
embed19387 csi 97.9
embed452 eab 99.3
embed5205 eab 99.3
embed13856 pmib 99.3
embed3464 cfd 99.3
embed2299 eae 99.3
embed7556 caf 98.6
embed25935 caf 99.3
embed18748 csi 97.9
embed340 eab 99.3
embed7033 eab 98.6
embed22583 eab 98.6
embed8719 eab 99.3
embed17057 cfd 99.3
embed11508 eae 99.3
embed2435 eab 99.3
embed23592 bapf 100
embed11740 pmib 99.3
embed2628 cfd 99.3
embed1768 eae 99.3
embed6342 caf 98.6
embed21695 caf 99.3
embed13857 csi 97.9
embed21696 hav 99.3
embed236 eab 99.3
embed25936 cfd 99.3
embed17058 eae 99.3
embed3501 eab 99.3
embed6587 cfd 99.3
embed4975 eae 99.3
embed16094 caf 98.6
embed25937 csi 97.9
embed757 eab 99.3
embed25938 eab 99.3
embed7480 eab 99.3
embed14194 pmib 99.3
embed3570 cfd 99.3
embed2524 eae 99.3
embed7740 caf 98.6
embed16547 csi 97.9
embed24706 hav 99.3
embed367 eab 99.3
embed23593 cfd 99.3
embed18092 eae 99.3
embed4436 eab 99.3
embed21697 eae 99.3
embed5768 eab 99.3
embed10690 mve 98.6
embed10864 asu 97.9
embed18093 pmib 99.3
embed4240 cfd 99.3
embed3006 eae 99.3
embed10016 caf 98.6
embed17059 csi 97.9
embed410 eab 99.3
embed10521 dpg 97.9
embed970 dpg 100
embed3597 dpg 99.3
embed9861 dpg 99.3
embed540 dpg 98.6
embed25942 dpg 97.9
embed9731 dfi 98.6
embed12708 dfi 98.6
embed18094 dfi 97.9
embed14521 dvm 100
embed21699 dpg 97.9
embed11077 eca 100
embed8606 eab 99.3
embed21700 btra 97.9
embed20899 cfd 99.3
embed12709 eae 99.3
embed1622 eab 99.3
embed12216 pmib 99.3
embed2798 cfd 99.3
embed1858 eae 99.3
embed6047 caf 98.6
embed24712 caf 99.3
embed15255 csi 97.9
embed21701 hav 99.3
embed23596 mmk 99.3
embed255 eab 99.3
embed25943 ccon 98.6
embed13859 eab 99.3
embed13271 pmib 99.3
embed3309 cfd 99.3
embed2032 eae 99.3
embed8196 caf 98.6
embed15644 csi 97.9
embed22586 ror 99.3
embed314 eab 99.3
embed16549 eae 99.3
embed3773 eab 99.3
embed16095 pmib 99.3
embed3619 cfd 99.3
embed2105 eae 99.3
embed8197 caf 98.6
embed13578 csi 97.9
embed24713 hav 99.3
embed310 eab 99.3
embed15256 eae 99.3
embed3898 eab 99.3
embed21702 pmib 99.3
embed5059 cfd 99.3
embed3322 eae 99.3
embed10335 caf 98.6
embed19390 csi 97.9
embed478 eab 99.3
embed14195 eab 99.3
embed8414 eab 99.3
embed14522 pmib 99.3
embed3323 cfd 99.3
embed2300 eae 99.3
embed6901 caf 98.6
embed16096 csi 97.9
embed17533 ror 99.3
embed24714 hav 99.3
embed339 eab 99.3
embed24715 eae 99.3
embed5769 eab 99.3
embed12710 eab 99.3
embed14876 pmib 99.3
embed2894 cfd 99.3
embed1968 eae 99.3
embed7108 caf 98.6
embed13860 csi 97.9
embed24716 hav 99.3
embed21703 mmk 99.3
embed271 eab 99.3
embed10175 eab 99.3
embed23597 pmib 99.3
embed5805 cfd 99.3
embed4069 eae 99.3
embed13861 caf 98.6
embed640 eab 99.3
embed19391 eae 99.3
embed4382 eab 99.3
embed19392 eab 99.3
embed14877 pmib 99.3
embed3339 cfd 99.3
embed2554 kpa 99.3
embed8303 kin 98.6
embed18750 csi 97.9
embed335 eab 99.3
embed11509 eab 99.3
embed20098 cfd 99.3
embed12711 eae 99.3
embed3285 eab 99.3
embed5314 eab 99.3
embed18095 pmib 99.3
embed3522 cfd 99.3
embed2379 eae 99.3
embed8720 caf 98.6
embed16550 csi 97.9
embed25944 hav 99.3
embed391 eab 99.3
embed13272 eab 99.3
embed4413 eab 99.3
embed25945 pmib 99.3
embed5806 cfd 99.3
embed3982 eae 99.3
embed13862 caf 98.6
embed25946 csi 97.9
embed492 eab 99.3
embed25947 eab 99.3
embed18751 pmib 99.3
embed3947 cfd 99.3
embed2612 eae 99.3
embed9322 caf 98.6
embed19393 csi 97.9
embed8415 eab 98.6
embed415 eab 99.3
embed21704 eab 99.3
embed7830 eab 99.3
embed15646 pmib 99.3
embed3674 cfd 99.3
embed2422 eae 99.3
embed7741 caf 98.6
embed14523 csi 97.9
embed371 eab 99.3
embed25948 cfd 99.3
embed15647 eae 99.3
embed3598 eab 99.3
embed20099 pmib 99.3
embed5335 cfd 99.3
embed3983 eae 99.3
embed13273 caf 98.6
embed18752 csi 97.9
embed575 eab 99.3
embed19394 eae 99.3
embed3863 eab 99.3
embed15648 cfd 99.3
embed10336 eae 99.3
embed1668 eab 99.3
embed7557 pmib 99.3
embed1933 cfd 99.3
embed1216 eae 99.3
embed4292 caf 98.6
embed15649 caf 99.3
embed9862 csi 97.9
embed15650 ror 99.3
embed15257 hav 99.3
embed16551 prg 99.3
embed15651 mmk 99.3
embed25949 sfg 99.3
embed145 eab 99.3
embed24717 ccon 98.6
embed10337 eae 99.3
embed566 eab 99.3
embed13274 cfd 99.3
embed9180 eae 99.3
embed7645 eab 99.3
embed15652 pmib 99.3
embed17534 pmib 99.3
embed8416 pmib 99.3
embed9323 pmib 99.3
embed19395 pmib 99.3
embed9324 pmib 99.3
embed20900 pmib 99.3
embed20100 pmib 99.3
embed19396 pmib 99.3
embed14878 pmib 99.3
embed24718 pmib 99.3
embed11510 pmib 99.3
embed12712 pmib 99.3
embed6588 pmib 99.3
embed10522 pmib 99.3
embed17060 pmib 99.3
embed20101 pmib 99.3
embed23598 pmib 99.3
embed7109 pmib 99.3
embed12452 pmib 99.3
embed17061 pmib 99.3
embed9732 pmib 99.3
embed9325 pmib 99.3
embed13863 pmib 99.3
embed20901 pmib 99.3
embed21705 pmib 99.3
embed6902 pmib 99.3
embed20902 pmib 99.3
embed10523 pmib 99.3
embed8836 pmib 99.3
embed16097 pmib 99.3
embed14879 pmib 99.3
embed23599 pmib 99.3
embed8011 pmib 99.3
embed19397 pmib 99.3
embed8607 pmib 99.3
embed20102 pmib 99.3
embed15258 pmib 99.3
embed25950 pmib 99.3
embed20903 pmib 99.3
embed15259 pmib 99.3
embed19398 pmib 99.3
embed16098 pmib 99.3
embed823 pmib 100
embed9863 pmib 99.3
embed17535 pmib 99.3
embed13864 pmib 99.3
embed11742 pmib 99.3
embed7257 pmib 99.3
embed18096 pmib 99.3
embed11976 pmib 99.3
embed25951 pmib 99.3
embed8837 pmib 99.3
embed10176 pmib 99.3
embed6843 pmib 99.3
embed18753 pmib 99.3
embed18097 pmib 99.3
embed9864 pmib 99.3
embed7182 pmib 99.3
embed22587 pmib 99.3
embed8198 pmib 99.3
embed8304 pmib 99.3
embed15260 pmib 99.3
embed9474 pmib 99.3
embed20904 pmib 99.3
embed14880 pmib 99.3
embed18098 pmib 99.3
embed8199 pmib 99.3
embed17536 pmib 99.3
embed9733 pmib 99.3
embed8417 pmib 99.3
embed12974 pmib 99.3
embed25952 pmib 99.3
embed22588 pmib 99.3
embed9326 pmib 99.3
embed15653 pmib 99.3
embed20905 pmib 99.3
embed9734 pmib 99.3
embed4870 pmib 99.3
embed12975 pmib 99.3
embed14524 pmib 99.3
embed13865 pmib 99.3
embed14881 pmib 99.3
embed6960 pmib 99.3
embed7110 pmib 99.3
embed17062 pmib 99.3
embed7558 pmib 99.3
embed21706 pmib 99.3
embed7481 pmib 99.3
embed25953 pmib 99.3
embed8721 pmib 99.3
embed8499 pmib 99.3
embed25954 pmib 99.3
embed16552 pmib 99.3
embed9181 pmib 99.3
embed13275 pmib 99.3
embed14882 cfd 99.3
embed8110 eae 99.3
embed9475 pmib 99.3
embed20103 pmib 99.3
embed2022 cfd 99.3
embed1277 eae 99.3
embed4550 caf 98.6
embed15654 caf 99.3
embed11511 csi 97.9
embed19399 ror 99.3
embed11977 pmib 99.3
embed15655 hav 99.3
embed14883 mmk 99.3
embed4823 cfd 99.3
embed3502 eae 99.3
embed12453 caf 98.6
embed23600 csi 97.9
embed13276 cfd 99.3
embed9058 eae 99.3
embed2187 cfd 99.3
embed1321 eae 99.3
embed4609 caf 98.6
embed14196 caf 99.3
embed11265 csi 97.9
embed20104 ror 99.3
embed13579 cfd 99.3
embed8608 eae 99.3
embed24719 caf 98.6
embed10524 cfd 99.3
embed21707 cfd 98.6
embed6240 eae 99.3
embed16553 caf 98.6
embed9182 cfd 99.3
embed5666 eae 99.3
embed18754 caf 98.6
embed16554 cfd 99.3
embed11978 eae 99.3
embed2251 cfd 99.3
embed1473 eae 99.3
embed4735 caf 98.6
embed17063 caf 99.3
embed24720 eae 98.6
embed15656 eae 99.3
embed14525 cfd 99.3
embed9865 eae 99.3
embed25955 caf 98.6
embed1867 cfd 99.3
embed8609 cmw 97.9
embed13277 cem 97.9
embed1201 eae 99.3
embed4180 caf 98.6
embed12713 caf 99.3
embed22589 cem 97.1
embed3791 ebi 100
embed17064 caf 97.9
embed4765 cfd 99.3
embed4037 eae 99.3
embed13580 caf 98.6
embed13866 cfd 99.3
embed8957 eae 99.3
embed2332 cfd 99.3
embed1515 eae 99.3
embed5770 caf 98.6
embed20105 caf 99.3
embed13278 cfd 99.3
embed9866 eae 99.3
embed4793 cfd 99.3
embed3655 eae 99.3
embed12454 caf 98.6
embed18099 eae 99.3
embed2080 cfd 99.3
embed25956 cmw 97.1
embed1564 eae 99.3
embed5031 caf 98.6
embed18100 caf 99.3
embed19400 cfd 99.3
embed13867 eae 99.3
embed7327 cfd 99.3
embed5004 eae 99.3
embed18101 caf 98.6
embed4527 cfd 99.3
embed3067 eae 99.3
embed10692 caf 98.6
embed24721 cfd 99.3
embed15657 eae 99.3
embed17065 cfd 99.3
embed14197 eae 99.3
embed5946 cfd 99.3
embed4646 eae 99.3
embed17066 caf 98.6
embed8418 cfd 99.3
embed6655 eae 99.3
embed2912 cfd 99.3
embed1983 eae 99.3
embed6467 caf 98.6
embed24722 caf 99.3
embed20906 cfd 99.3
embed10865 eae 99.3
embed4579 cfd 99.3
embed3019 eae 99.3
embed10693 caf 98.6
embed4871 cfd 99.3
embed3080 eae 99.3
embed11512 caf 98.6
embed2380 cfd 99.3
embed1510 eae 99.3
embed5732 caf 98.6
embed17537 caf 99.3
embed25957 cfd 99.3
embed13868 eae 99.3
embed23601 eae 99.3
embed13581 cfd 99.3
embed10338 eae 99.3
embed2073 cfd 99.3
embed21708 eta 99.3
embed15658 caf 98.6
embed1197 eta 100
embed4610 eta 99.3
embed18102 caf 99.3
embed12455 cfd 99.3
embed8200 eae 99.3
embed24723 caf 98.6
embed3984 cfd 99.3
embed2576 eae 99.3
embed8610 caf 98.6
embed4134 cfd 99.3
embed3095 eae 99.3
embed8305 caf 98.6
embed20907 eae 99.3
embed5336 cfd 99.3
embed4011 eae 99.3
embed11743 caf 98.6
embed2276 cfd 99.3
embed1519 caf 98.6
embed5541 caf 98.6
embed18755 caf 99.3
embed18756 caf 98.6
embed4528 cfd 99.3
embed3286 caf 98.6
embed12976 caf 98.6
embed13582 cfd 99.3
embed2396 cfd 99.3
embed1343 caf 98.6
embed4350 caf 98.6
embed17538 caf 99.3
embed6961 cfd 99.3
embed15261 cfd 99.3
embed3758 cfd 99.3
embed24724 cfd 99.3
embed2721 cfd 99.3
embed4824 cfd 99.3
embed4470 cfd 99.3
embed17539 cfd 99.3
embed1920 cfd 99.3
embed3263 cfd 99.3
embed3557 cfd 99.3
embed6844 cfd 99.3
embed7559 cfd 99.3
embed9059 cfd 99.3
embed1890 cfd 99.3
embed4038 cfd 99.3
embed10339 cfd 99.3
embed25959 cfd 99.3
embed2004 cfd 99.3
embed6048 cfd 99.3
embed14526 cfd 99.3
embed3287 cfd 99.3
embed4351 cfd 99.3
embed7034 cfd 99.3
embed3288 cfd 99.3
embed4682 cfd 99.3
embed3826 cfd 99.3
embed3948 cfd 99.3
embed115 cfd 100
embed2201 cfd 99.3
embed4766 cfd 99.3
embed4551 cfd 99.3
embed2436 cfd 99.3
embed1658 cfd 99.3
embed4319 cfd 99.3
embed8306 cfd 99.3
embed7414 cfd 99.3
embed2497 cfd 99.3
embed9327 cfd 99.3
embed11979 cfd 99.3
embed5617 cfd 99.3
embed7328 cfd 99.3
embed6524 cfd 99.3
embed1934 cfd 99.3
embed11266 cfd 99.3
embed9060 cfd 99.3
embed20908 cfd 99.3
embed1171 cfd 99.3
embed17067 enr 100
embed1395 cmw 100
embed879 cfd 99.3
embed4683 cfd 99.3
embed4736 cfd 99.3
embed3405 cfd 99.3
embed18757 cfd 99.3
embed1943 cfd 99.3
embed12456 cfd 99.3
embed3482 cfd 99.3
embed7183 cfd 99.3
embed10694 cfd 99.3
embed7184 cfd 99.3
embed9735 cfd 99.3
embed1908 cfd 99.3
embed5996 cfd 99.3
embed2133 cfd 99.3
embed20909 cfd 97.9
embed1891 cfd 99.3
embed4580 cfd 98.6
embed2407 cfd 99.3
embed2489 cfd 99.3
embed8722 cfd 99.3
embed11980 cfd 99.3
embed1916 cfd 99.3
embed12457 eae 99.3
embed2887 eae 99.3
embed11981 caf 98.6
embed14884 eae 99.3
embed1772 eae 99.3
embed6049 caf 98.6
embed21709 caf 99.3
embed18758 eae 99.3
embed3020 eae 99.3
embed10525 caf 98.6
embed1682 eae 99.3
embed9867 caf 98.6
embed24725 eae 99.3
embed11078 eae 99.3
embed1211 caf 98.6
embed5807 caf 98.6
embed2138 eae 99.3
embed9061 caf 98.6
embed2252 eae 99.3
embed6181 caf 98.6
embed22590 caf 99.3
embed4904 caf 98.6
embed6241 caf 98.6
embed21710 caf 98.6
embed6903 caf 98.6
embed1223 caf 98.6
embed2818 caf 98.6
embed6962 caf 98.6
embed19401 caf 98.6
embed1286 caf 98.6
embed15659 caf 98.6
embed21711 caf 98.6
embed16555 caf 98.6
embed4135 caf 98.6
embed11267 eae 99.3
embed2260 eae 99.3
embed3068 eae 99.3
embed4872 eae 99.3
embed2243 eae 99.3
embed17540 eae 99.3
embed3027 eae 99.3
embed2437 eae 99.3
embed2895 eae 99.3
embed60 eae 100
embed1363 eae 99.3
embed3537 eae 99.3
embed3156 eae 99.3
embed1597 eae 99.3
embed1034 eae 99.3
embed2944 eae 99.3
embed6050 eae 99.3
embed5005 eae 99.3
embed1674 eae 99.3
embed6242 eae 99.3
embed8201 caf 98.6
embed3837 caf 98.6
embed5808 caf 98.6
embed4471 caf 98.6
embed1232 caf 98.6
embed6904 caf 98.6
embed6468 caf 98.6
embed22591 caf 99.3
embed10866 caf 99.3
embed16556 caf 98.6
embed18103 caf 98.6
embed22592 caf 98.6
embed4012 caf 98.6
embed7831 caf 98.6
embed25960 caf 98.6
embed4495 caf 98.6
embed20910 enf 100
embed13279 caf 98.6
embed8202 caf 98.6
embed9604 caf 98.6
embed18104 caf 98.6
embed6963 caf 98.6
embed11982 caf 98.6
embed10526 caf 98.6
embed8012 caf 98.6
embed10017 caf 98.6
embed189 caf 99.3
embed4611 caf 98.6
embed11079 eae 98.6
embed9476 caf 98.6
embed5947 caf 98.6
embed3599 caf 98.6
embed10177 caf 98.6
embed19402 caf 98.6
embed16099 caf 98.6
embed5618 caf 98.6
embed12977 caf 98.6
embed17541 caf 98.6
embed11983 caf 98.6
embed14527 caf 98.6
embed18105 caf 98.6
embed4097 caf 98.6
embed23603 caf 98.6
embed14198 caf 98.6
embed13869 caf 99.3
embed13870 caf 99.3
embed777 caf 100
embed18106 caf 99.3
embed12978 caf 99.3
embed12458 caf 99.3
embed24726 caf 99.3
embed17542 caf 98.6
embed523 caf 100
embed16100 caf 99.3
embed3375 eae 99.3
embed12217 caf 98.6
embed3055 eae 99.3
embed10340 caf 98.6
embed2315 eae 99.3
embed7646 caf 98.6
embed12714 eae 99.3
embed1341 eae 99.3
embed4437 caf 98.6
embed17543 caf 99.3
embed9477 eae 99.3
embed24727 caf 99.3
embed2253 eae 99.3
embed8500 caf 98.6
embed21712 caf 99.3
embed5155 eae 99.3
embed12979 caf 98.6
embed8723 eae 99.3
embed4737 eae 99.3
embed17544 caf 98.6
embed6783 eae 99.3
embed1172 eae 99.3
embed3985 caf 98.6
embed12218 caf 99.3
embed3600 eae 99.3
embed16557 caf 98.6
embed1344 eae 99.3
embed4738 caf 98.6
embed15262 caf 99.3
embed10178 caf 98.6
embed1198 eae 99.3
embed4136 caf 98.6
embed8838 caf 99.3
embed2709 caf 99.3
embed1825 eae 99.3
embed6243 caf 98.6
embed18107 caf 99.3
embed1547 eae 99.3
embed5619 caf 98.6
embed22593 caf 99.3
embed7185 eae 99.3
embed20106 caf 98.6
embed8724 eae 99.3
embed24728 eae 99.3
embed1496 eae 99.3
embed5248 caf 98.6
embed7832 caf 99.3
embed12980 cfd 99.3
embed3899 caf 98.6
embed12715 caf 98.6
embed2188 cfd 99.3
embed1451 caf 98.6
embed5578 caf 98.6
embed18759 caf 99.3
embed19403 caf 98.6
embed3864 cfd 99.3
embed2972 caf 98.6
embed9478 caf 98.6
embed24729 cfd 99.3
embed18108 caf 98.6
embed14885 cfd 99.3
embed12459 caf 98.6
embed4268 cfd 99.3
embed3116 caf 98.6
embed9479 caf 98.6
embed12716 cfd 99.3
embed9062 caf 98.6
embed23604 caf 98.6
embed2010 cfd 99.3
embed1314 caf 98.6
embed4241 caf 98.6
embed15263 caf 99.3
embed22594 cfd 99.3
embed11268 caf 98.6
embed10527 cfd 99.3
embed1826 cfd 99.3
embed1217 eae 99.3
embed4098 caf 98.6
embed14528 caf 99.3
embed20911 caf 99.3
embed11269 cfd 99.3
embed7742 eae 99.3
embed24730 caf 98.6
embed16558 cfd 99.3
embed9868 eae 99.3
embed8419 cfd 99.3
embed6244 eae 99.3
embed22595 caf 98.6
embed4293 cfd 99.3
embed3675 eae 99.3
embed9328 caf 98.6
embed3986 cfd 99.3
embed2368 eae 99.3
embed9329 sew 99.3
embed5733 cfd 99.3
embed3429 eae 99.3
embed12717 caf 98.6
embed5734 cfd 99.3
embed4320 eae 99.3
embed16559 caf 98.6
embed2058 cfd 99.3
embed1284 eae 99.3
embed4242 caf 98.6
embed15660 caf 99.3
embed22596 cfd 99.3
embed14529 eae 99.3
embed17545 cfd 99.3
embed8725 eae 99.3
embed2438 cfd 99.3
embed1598 eae 99.3
embed5337 caf 98.6
embed17068 caf 99.3
embed21713 cfd 99.3
embed15661 eae 99.3
embed2659 cfd 99.3
embed672 eae 99.3
embed24731 eae 98.6
embed5667 caf 98.6
embed17069 caf 99.3
embed6417 cfd 99.3
embed4161 eae 99.3
embed17546 caf 98.6
embed8203 cfd 99.3
embed6589 eae 99.3
embed17070 caf 98.6
embed14530 cfd 99.3
embed7833 eae 99.3
embed25961 caf 98.6
embed9330 cfd 99.3
embed5579 eae 99.3
embed16560 caf 98.6
embed12219 eae 99.3
embed3222 cfd 99.3
embed1958 eae 99.3
embed8013 caf 98.6
embed25962 eae 99.3
embed3299 cfd 99.3
embed2287 eae 99.3
embed6418 caf 98.6
embed24732 cfd 99.3
embed17547 eae 99.3
embed2660 cfd 99.3
embed1836 eae 99.3
embed5997 caf 98.6
embed25963 caf 99.3
embed4352 cfd 99.3
embed3128 eae 99.3
embed10867 caf 98.6
embed6525 cfd 99.3
embed4529 eae 99.3
embed16101 caf 98.6
embed1653 cfd 99.3
embed1094 eae 99.3
embed3465 caf 98.6
embed13280 caf 99.3
embed25964 eae 98.6
embed12981 cfd 99.3
embed9736 eae 99.3
embed21714 caf 98.6
embed3741 cfd 99.3
embed2932 eae 99.3
embed9480 caf 98.6
embed23605 caf 99.3
embed1769 cfd 99.3
embed1169 eae 99.3
embed4214 caf 98.6
embed14886 caf 99.3
embed18760 eae 99.3
embed7258 cfd 99.3
embed4767 eae 99.3
embed18109 caf 98.6
embed1811 cfd 99.3
embed1104 eae 99.3
embed3393 caf 98.6
embed13871 caf 99.3
embed5948 cfd 99.3
embed4581 eae 99.3
embed13872 caf 98.6
embed13583 cfd 99.3
embed9481 eae 99.3
embed23606 eae 99.3
embed13873 cfd 99.3
embed9183 eae 99.3
embed2508 cfd 99.3
embed1571 eae 99.3
embed5374 caf 98.6
embed17071 caf 99.3
embed16561 cfd 99.3
embed12718 eae 99.3
embed11270 cfd 99.3
embed9063 eae 99.3
embed5315 cfd 99.3
embed3838 eae 99.3
embed10868 caf 98.6
embed3264 cfd 99.3
embed2202 eae 99.3
embed8204 caf 98.6
embed25965 caf 99.3
embed13281 eae 99.3
embed13282 cfd 99.3
embed8014 eae 99.3
embed2177 cfd 99.3
embed1415 eae 99.3
embed4647 caf 98.6
embed19404 caf 99.3
embed22597 eae 99.3
embed13874 cfd 99.3
embed8726 eae 99.3
embed1947 cfd 99.3
embed1190 kva 100
embed4137 kva 99.3
embed15662 caf 99.3
embed6526 cfd 99.3
embed4648 eae 99.3
embed15663 caf 98.6
embed16102 cfd 99.3
embed9482 eae 99.3
embed17072 caf 97.1
embed12460 csi 97.9
embed20912 ror 99.3
embed17548 csi 97.9
embed11744 csi 97.9
embed18761 ror 99.3
embed17073 csi 97.9
embed24733 csi 97.9
embed12220 csi 97.9
embed24734 ror 99.3
embed17074 csi 97.9
embed20913 raa 99.3
embed18762 csi 97.9
embed12461 csi 97.9
embed20914 ege 98.6
embed11271 csi 97.9
embed3446 csi 99.3
embed16103 ege 98.6
embed17075 csi 97.9
embed18763 csi 97.9
embed23607 csi 97.9
embed11272 csi 97.9
embed19405 ror 99.3
embed18764 csi 97.9
embed11273 csi 97.9
embed20107 ror 99.3
embed9869 cmw 97.9
embed24735 csi 97.9
embed21715 csi 98.6
embed12462 eab 97.9
embed17076 eab 97.9
embed18765 eab 97.9
embed150 eab 99.3
embed18110 csi 97.9
embed11513 csi 97.9
embed12221 csi 97.9
embed22598 csi 97.9
embed24736 csi 97.9
embed10869 csi 97.9
embed23608 csi 97.9
embed9184 csi 97.9
embed15264 csi 97.9
embed15265 csi 97.9
embed11745 csi 97.9
embed20915 csi 97.9
embed15664 csi 97.9
embed17077 csi 97.9
embed19406 csi 97.9
embed17549 csi 97.9
embed1143 csi 98.6
embed11274 csi 97.9
embed20108 csi 97.9
embed15665 csi 97.9
embed10341 csi 97.9
embed8205 csi 97.9
embed19407 csi 97.9
embed25966 csi 97.9
embed20916 csi 97.9
