,pathway_id,pathway_names,Association,cum_timepoint_importance,cum_timepoint_numtrees
property_100_40,ko00633,Nitrotoluene degradation,['HC'],0.16558885759154263,-6.0
property_100_65,ko00020,Citrate cycle (TCA cycle),"['UC', 'CD']",0.1574493490247449,18.0
property_100_35,ko00930,Caprolactam degradation,"['UC', 'CD']",0.155199870228221,2.0
property_100_29,ko00984,Steroid degradation,['HC'],0.15342133375796127,-6.0
property_100_74,ko00600,Sphingolipid metabolism,['HC'],0.14819352268204522,-4.0
property_100_53,ko00072,Synthesis and degradation of ketone bodies,NA,0.14489201535577118,0.0
property_100_86,ko00906,Carotenoid biosynthesis,['HC'],0.13491956744662073,-3.0
property_100_48,ko00480,Glutathione metabolism,"['UC', 'CD']",0.13476127806958751,8.0
property_100_95,ko00514,Other types of O-glycan biosynthesis,"['UC', 'CD']",0.13394484372602916,2.0
property_100_25,ko00380,Tryptophan metabolism,['HC'],0.1338330679322241,-4.0
property_100_50,ko00514,Other types of O-glycan biosynthesis,"['UC', 'CD']",0.13106234445692902,12.0
property_100_21,ko00360,Phenylalanine metabolism,['HC'],0.13096751667855475,-2.0
property_100_97,ko05150,Staphylococcus aureus infection,NA,0.12935690259206806,0.0
property_100_78,ko00281,Geraniol degradation,"['UC', 'CD']",0.12807252995399782,6.0
property_100_31,ko00020,Citrate cycle (TCA cycle),"['UC', 'CD']",0.12212678358996815,2.0
property_100_94,ko00860,Porphyrin and chlorophyll metabolism,NA,0.12048535877032018,0.0
property_100_69,ko05100,Bacterial invasion of epithelial cells,['HC'],0.11914305381598093,-2.0
property_100_63,ko02026,Biofilm formation - Escherichia coli,['HC'],0.11892722433657772,-2.0
property_100_81,ko00909,Sesquiterpenoid and triterpenoid biosynthesis,NA,0.11770292525610349,0.0
property_100_62,ko00660,C5-Branched dibasic acid metabolism,"['UC', 'CD']",0.11724068460205117,2.0
property_100_1,ko00281,Geraniol degradation,['HC'],0.11521516279912004,-6.0
property_100_88,ko02026,Biofilm formation - Escherichia coli,['HC'],0.11467712752721235,-8.0
property_100_43,ko00100,Steroid biosynthesis,NA,0.1142966403919276,0.0
property_100_15,ko00072,Synthesis and degradation of ketone bodies,"['UC', 'CD']",0.11392069355676335,6.0
property_100_7,ko00740,Riboflavin metabolism,"['UC', 'CD']",0.1109449636904895,4.0
property_100_85,ko00600,Sphingolipid metabolism,"['UC', 'CD']",0.11063958625589965,2.0
property_100_99,ko00053,Ascorbate and aldarate metabolism,"['UC', 'CD']",0.1087682104223062,4.0
property_100_84,ko02026,Biofilm formation - Escherichia coli,['HC'],0.10774354496751083,-2.0
property_100_98,ko00362,Benzoate degradation,"['UC', 'CD']",0.10720972094596726,4.0
property_100_36,ko01055,Biosynthesis of vancomycin group antibiotics,['HC'],0.10682315718154721,-2.0
property_100_49,ko00600,Sphingolipid metabolism,['HC'],0.10521550481477994,-1.0
property_100_38,ko00910,Nitrogen metabolism,['HC'],0.10469793307148992,-8.0
property_100_91,ko00624,Polycyclic aromatic hydrocarbon degradation,"['UC', 'CD']",0.10199801433859482,4.0
property_100_16,ko00121,Secondary bile acid biosynthesis,NA,0.10178097370831676,0.0
property_100_92,ko00072,Synthesis and degradation of ketone bodies,NA,0.09838069557618546,0.0
property_100_19,ko00480,Glutathione metabolism,"['UC', 'CD']",0.09675376406085301,6.0
property_100_10,ko00903,Limonene and pinene degradation,NA,0.09225022355612592,0.0
property_100_30,ko00600,Sphingolipid metabolism,['HC'],0.09216798386945604,-2.0
property_100_4,ko02026,Biofilm formation - Escherichia coli,NA,0.08688803654321517,0.0
property_100_55,ko00511,Other glycan degradation,NA,0.08623358296787469,0.0
property_100_14,ko00480,Glutathione metabolism,['HC'],0.07940605696331803,-6.0
property_100_5,ko00514,Other types of O-glycan biosynthesis,['HC'],0.07835403671536643,-2.0
property_100_42,ko01053,Biosynthesis of siderophore group nonribosomal peptides,['HC'],0.075671072029573,-4.0
property_100_6,ko00281,Geraniol degradation,"['UC', 'CD']",0.07240096843861908,2.0
property_100_2,ko05150,Staphylococcus aureus infection,['HC'],0.07036477446786345,-4.0
property_100_54,ko00524,"Neomycin, kanamycin and gentamicin biosynthesis","['UC', 'CD']",0.06889990108359506,2.0
property_100_100,ko00930,Caprolactam degradation,NA,0.06021125401942427,0.0
property_100_73,ko00511,Other glycan degradation,NA,0.05617004712361721,0.0
property_100_71,ko04122,Sulfur relay system,['HC'],0.056099558327315856,-4.0
property_100_45,ko00906,Carotenoid biosynthesis,"['UC', 'CD']",0.055838656977368735,4.0
property_100_33,ko00562,Inositol phosphate metabolism,NA,0.05508870248060939,0.0
property_100_37,ko00643,Styrene degradation,['HC'],0.05195732077203226,-2.0
property_100_70,ko00906,Carotenoid biosynthesis,"['UC', 'CD']",0.05169198126719455,2.0
property_100_11,ko00480,Glutathione metabolism,['HC'],0.04118373035410249,-2.0
property_100_59,ko00514,Other types of O-glycan biosynthesis,NA,0.04103208787038648,0.0
property_100_58,ko00625,Chloroalkane and chloroalkene degradation,['HC'],0.040332951015598764,-2.0
property_100_79,ko00601,Glycosphingolipid biosynthesis - lacto and neolacto series,NA,0.03805763929225762,0.0
property_100_9,ko00401,Novobiocin biosynthesis,['HC'],0.03571535209324517,-5.0
property_100_41,ko00362,Benzoate degradation,"['UC', 'CD']",0.020407634201437354,2.0
